Job Title,Job ID,Location,Experience,Apply Link
Principal Software Engineering Manager,200000280,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620553
Principal Sofware Engineer,200000355,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620448
Principal Software Engineering Manager,200000407,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620665
Product Manager II - Copilot Analytics,200000573,"India, Karnataka, Bangalore",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556620413
Principal Software Engineer,200000931,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620324
Senior Product Manager,200001107,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556620012
Principal Software Engineering Manager,200001119,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620471
Senior Product Manager - Copilot Analytics Platform,200001197,"India, Karnataka, Bangalore",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556623168
Principal Software Engineering Manager,200001524,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556621365
Partner Marketing,200001617,"India, Haryana, Gurgaon",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620214
"Technology Consulting manager, AI Business Solutions",200001915,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556620794
Senior Engineering Manager,200001933,"India, Uttar Pradesh, Noida",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556620931
Principal AI Architect,200002379,"India, Telangana, Hyderabad",1+ years,https://apply.careers.microsoft.com/careers/job/1970393556621120
Principal Product Manager,200002483,"India, Karnataka, Bangalore",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556621227
Software Engineer,200002670,"India, Telangana, Hyderabad",1+ years,https://apply.careers.microsoft.com/careers/job/1970393556621673
Principal Software Engineering Manager,200007092,"India, Uttar Pradesh, Noida",3+ years,https://apply.careers.microsoft.com/careers/job/1970393556626908
Principal Software Engineering Manager,200008860,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556628926
Senior Software Engineer,200008872,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556628941
Principal Software Engineer,200009629,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556629946
Principal Software Engineering Manager,200010352,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556630784
Principal Software Engineer,200010714,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556631192
Software Engineering IC4,200010938,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556631437
Principal Software Engineering Manager,200011300,"India, Telangana, Hyderabad",15+ years,https://apply.careers.microsoft.com/careers/job/1970393556631895
Principal Applied Science Manager,200011401,"India, Karnataka, Bangalore",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556632000
Senior Product Manager,200011642,"India, Telangana, Hyderabad",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556636424
Senior Product Manager,200011645,"India, Telangana, Hyderabad",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556636426
Principal Product Manager,200012658,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556637795
Principal Group Engineering Manager,200012843,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556638001
